dataset_id,tag_name
377,json
377,xml
377,landing page
377,data.json
378,html
378,gov
378,ipynb
378,text
378,landing page
378,data.json
379,html
379,landing page
379,data.json
380,csv
380,rdf
380,json
380,xml
380,landing page
380,data.json
381,data.json
382,html
382,landing page
382,data.json
383,csv
383,rdf
383,json
383,xml
383,landing page
383,data.json
384,html
384,csv
384,landing page
384,data.json
385,iso-19139
386,zip
386,landing page
386,data.json
387,csv
387,rdf
387,json
387,xml
387,landing page
387,data.json
388,html
388,landing page
388,data.json
389,html
389,landing page
389,data.json
390,xml
390,html
390,arcgis geoservices rest api
390,pdf
390,zip
390,csv
390,geojson
390,kml
390,data.json
391,data
391,doc
391,csv
391,pdf
391,excel
391,html
391,zip
391,data.json
392,excel
392,landing page
392,data.json
393,csv
393,rdf
393,json
393,xml
393,landing page
393,data.json
394,xml
394,landing page
394,data.json
395,csv
395,rdf
395,json
395,xml
395,landing page
395,data.json
396,zip
396,xml
396,iso-19139
397,csv
397,rdf
397,json
397,xml
397,landing page
397,data.json
398,html
398,landing page
398,data.json
399,landing page
399,data.json
400,html
400,landing page
400,data.json
401,html
401,data.json
402,html
402,csv
402,landing page
402,data.json
403,csv
403,rdf
403,json
403,xml
403,landing page
403,data.json
404,zip
404,landing page
404,data.json
405,zip
405,landing page
405,data.json
406,html
406,api
406,excel
406,data.json
407,data.json
408,api
408,landing page
408,data.json
409,landing page
409,data.json
410,landing page
410,data.json
411,data.json
412,csv
412,rdf
412,json
412,xml
412,landing page
412,data.json
413,html
413,landing page
413,data.json
414,html
414,zip
414,landing page
414,data.json
415,landing page
415,data.json
416,data.json
417,html
417,arcgis geoservices rest api
417,csv
417,geojson
417,zip
417,landing page
417,data.json
418,zip
418,landing page
418,data.json
419,landing page
419,data.json
420,html
420,arcgis geoservices rest api
420,data.json
421,html
421,data.json
422,csv
422,rdf
422,json
422,xml
422,landing page
422,data.json
423,html
423,landing page
423,data.json
424,text
424,landing page
424,data.json
425,csv
425,rdf
425,json
425,xml
425,landing page
425,data.json
426,iso-19139
427,html
427,landing page
427,data.json
428,wms
428,wfs
428,qgis
428,zip
428,gml
428,kml
428,json
428,csv
428,excel
428,xml
428,html
428,iso-19139
429,html
429,landing page
429,data.json
430,html
430,landing page
430,data.json
431,excel
431,data.json
432,csv
432,xml
432,landing page
432,data.json
433,excel
433,data.json
434,html
434,data.json
435,html
435,landing page
435,data.json
436,html
436,api
436,data.json
437,iso-19139
438,html
438,landing page
438,data.json
439,excel
439,data.json
440,csv
440,rdf
440,json
440,xml
440,landing page
440,data.json
441,html
441,data.json
442,csv
442,rdf
442,json
442,xml
442,landing page
442,data.json
443,html
443,data.json
444,html
444,arcgis geoservices rest api
444,csv
444,zip
444,geojson
444,kml
444,text
444,excel
444,gpkg
444,gdb
444,landing page
444,data.json
445,zip
445,html
445,iso-19139
446,esri rest
446,iso-19139
447,csv
447,rdf
447,json
447,xml
447,landing page
447,data.json
448,iso-19139
449,zip
449,data.json
450,csv
450,rdf
450,json
450,xml
450,landing page
450,data.json
451,csv
451,data.json
452,html
452,landing page
452,data.json
453,api
453,excel
453,landing page
453,data.json
454,zip
454,landing page
454,data.json
455,excel
455,landing page
455,data.json
456,data.json
457,xml
457,data.json
458,html
458,csv
458,data.json
459,csv
459,rdf
459,json
459,xml
459,landing page
459,data.json
460,iso-19139
461,csv
461,rdf
461,json
461,xml
461,landing page
461,data.json
462,pdf
462,excel
462,bin
462,landing page
462,data.json
463,html
463,landing page
463,data.json
464,html
464,landing page
464,data.json
465,data.json
466,data.json
467,csv
467,rdf
467,json
467,xml
467,landing page
467,data.json
468,csv
468,rdf
468,json
468,xml
468,landing page
468,data.json
469,api
469,bin
469,landing page
469,data.json
470,html
470,landing page
470,data.json
471,csv
471,rdf
471,json
471,xml
471,landing page
471,data.json
472,csv
472,html
472,landing page
472,data.json
473,excel
473,landing page
473,data.json
474,csv
474,zip
474,excel
474,landing page
474,data.json
475,html
475,landing page
475,data.json
476,csv
476,rdf
476,json
476,xml
476,landing page
476,data.json
477,csv
477,rdf
477,json
477,xml
477,landing page
477,data.json
478,csv
478,rdf
478,json
478,xml
478,landing page
478,data.json
479,xml
479,html
479,ogc wms
479,csv
479,zip
479,geojson
479,kml
479,landing page
479,data.json
480,csv
480,rdf
480,json
480,xml
480,landing page
480,data.json
481,html
481,landing page
481,data.json
482,html
482,landing page
482,data.json
483,wms
483,wfs
483,qgis
483,zip
483,gml
483,kml
483,json
483,csv
483,excel
483,xml
483,html
483,iso-19139
484,csv
484,rdf
484,json
484,xml
484,landing page
484,data.json
485,excel
485,csv
485,data.json
486,csv
486,rdf
486,json
486,xml
486,landing page
486,data.json
487,excel
487,landing page
487,data.json
488,html
488,landing page
488,data.json
489,csv
489,rdf
489,json
489,xml
489,landing page
489,data.json
490,zip
490,xml
490,iso-19139
491,csv
491,rdf
491,json
491,xml
491,landing page
491,data.json
492,landing page
492,data.json
493,csv
493,landing page
493,data.json
494,html
494,arcgis geoservices rest api
494,data.json
495,html
495,arcgis geoservices rest api
495,csv
495,zip
495,geojson
495,kml
495,landing page
495,data.json
496,html
496,landing page
496,data.json
497,zip
497,landing page
497,data.json
498,html
498,arcgis geoservices rest api
498,csv
498,zip
498,geojson
498,kml
498,landing page
498,data.json
499,html
499,application/opensearchdescription+xml
499,landing page
499,data.json
500,csv
500,data.json
501,html
501,arcgis geoservices rest api
501,ogc wms
501,csv
501,zip
501,geojson
501,kml
501,landing page
501,data.json
502,application/vnd.lotus-organizer
502,wfs
502,wms
502,iso-19139
503,xml
503,data.json
504,zip
504,landing page
504,data.json
505,data.json
506,landing page
506,data.json
507,excel
507,pdf
507,44
507,landing page
507,data.json
508,csv
508,rdf
508,json
508,xml
508,landing page
508,data.json
509,xml
509,data.json
510,csv
510,rdf
510,json
510,xml
510,landing page
510,data.json
511,xml
511,html
511,arcgis geoservices rest api
511,pdf
511,zip
511,csv
511,geojson
511,kml
511,data.json
512,csv
512,rdf
512,json
512,xml
512,landing page
512,data.json
513,html
513,landing page
513,data.json
514,zip
514,iso-19139
515,csv
515,rdf
515,json
515,xml
515,landing page
515,data.json
516,iso-19139
517,csv
517,rdf
517,json
517,xml
517,landing page
517,data.json
518,pdf
518,iso-19139
519,excel
519,landing page
519,data.json
520,zip
520,xml
520,esri rest
520,iso-19139
521,csv
521,rdf
521,json
521,xml
521,landing page
521,data.json
522,wms
522,wfs
522,qgis
522,zip
522,gml
522,kml
522,json
522,csv
522,excel
522,xml
522,html
522,iso-19139
523,text
523,bin
523,text/x-web-markdown
523,landing page
523,data.json
524,html
524,csv
524,landing page
524,data.json
525,html
525,application/vnd.lotus-organizer
525,wcs
525,wms
525,iso-19139
526,zip
526,pdf
526,excel
526,landing page
526,data.json
527,csv
527,rdf
527,json
527,xml
527,landing page
527,data.json
528,landing page
528,data.json
529,data.json
530,csv
530,rdf
530,json
530,xml
530,landing page
530,data.json
531,html
531,data.json
532,html
532,api
532,pdf
532,data.json
533,csv
533,rdf
533,json
533,xml
533,landing page
533,data.json
534,csv
534,rdf
534,json
534,xml
534,landing page
534,data.json
535,html
535,arcgis geoservices rest api
535,landing page
535,data.json
536,zip
536,xml
536,pdf
536,iso-19139
537,csv
537,rdf
537,json
537,xml
537,landing page
537,data.json
538,csv
538,rdf
538,json
538,xml
538,landing page
538,data.json
539,csv
539,rdf
539,json
539,xml
539,landing page
539,data.json
540,landing page
540,data.json
541,html
541,landing page
541,data.json
542,html
542,landing page
542,data.json
543,csv
543,rdf
543,json
543,xml
543,landing page
543,data.json
544,zip
544,excel
544,csv
544,text
544,data.json
545,api
545,data.json
546,data.json
547,html
547,landing page
547,data.json
548,html
548,landing page
548,data.json
549,csv
549,rdf
549,json
549,xml
549,landing page
549,data.json
550,zip
550,xml
550,wms
550,esri rest
550,iso-19139
551,html
551,cdf
551,tiff
551,pdf
551,esri rest
551,wms
551,iso-19139
552,html
552,excel
552,pdf
552,data.json
553,html
553,landing page
553,data.json
554,html
554,json
554,csv
554,zip
554,application/vnd.geo+json
554,kml
554,text
554,excel
554,application/geopackage+sqlite3
554,landing page
554,data.json
555,csv
555,rdf
555,json
555,xml
555,landing page
555,data.json
556,html
556,api
556,data.json
557,csv
557,rdf
557,json
557,xml
557,landing page
557,data.json
558,landing page
558,data.json
559,data.json
560,html
560,pdf
560,iso-19139
561,landing page
561,data.json
562,csv
562,rdf
562,json
562,xml
562,landing page
562,data.json
563,html
563,arcgis geoservices rest api
563,landing page
563,data.json
564,csv
564,rdf
564,json
564,xsl
564,landing page
564,data.json
565,html
565,landing page
565,data.json
566,csv
566,rdf
566,json
566,xml
566,landing page
566,data.json
567,html
567,data.json
568,data.json
569,html
569,wms
569,iso-19139
570,zip
570,landing page
570,data.json
571,gov
571,html
571,landing page
571,data.json
572,csv
572,rdf
572,json
572,xml
572,landing page
572,data.json
573,excel
573,landing page
573,data.json
574,html
574,iso-19139
575,wms
575,wfs
575,qgis
575,zip
575,gml
575,kml
575,json
575,csv
575,excel
575,xml
575,html
575,iso-19139
576,excel
576,landing page
576,data.json
577,csv
577,rdf
577,json
577,xml
577,landing page
577,data.json
578,pdf
578,csv
578,zip
578,text
578,jpeg
578,landing page
578,data.json
579,iso-19139
580,pdf
580,excel
580,data.json
581,csv
581,rdf
581,json
581,xml
581,landing page
581,data.json
582,csv
582,rdf
582,json
582,xml
582,landing page
582,data.json
583,csv
583,pdf
583,excel
583,zip
583,data.json
584,csv
584,zip
584,data.json
585,html
585,landing page
585,data.json
586,html
586,application/vnd.api+json
586,landing page
586,data.json
587,tiff
587,text
587,landing page
587,data.json
588,csv
588,rdf
588,json
588,xml
588,landing page
588,data.json
589,html
589,data.json
590,csv
590,rdf
590,json
590,xml
590,landing page
590,data.json
591,html
591,arcgis geoservices rest api
591,ogc wms
591,csv
591,zip
591,geojson
591,kml
591,landing page
591,data.json
592,html
592,landing page
592,data.json
593,csv
593,shp
593,pdf
593,data.json
594,png
594,html
594,bin
594,pdf
594,iso
594,data.json
595,xml
595,html
595,arcgis geoservices rest api
595,csv
595,geojson
595,zip
595,kml
595,data.json
596,zip
596,xml
596,esri rest
596,iso-19139
597,landing page
597,data.json
598,data.json
599,excel
599,data.json
600,text
600,pdf
600,esri rest
600,kml
600,csv
600,html
600,iso-19139
601,csv
601,data.json
602,landing page
602,data.json
603,zip
603,html
603,iso-19139
604,html
604,landing page
604,data.json
605,iso-19139
606,html
606,csv
606,shp
606,data.json
607,tiff
607,shp
607,api
607,jpeg
607,html
607,ecw
607,data.json
608,landing page
608,data.json
609,csv
609,rdf
609,json
609,xml
609,landing page
609,data.json
610,landing page
610,data.json
611,text
611,iso-19139
612,text
612,html
612,landing page
612,data.json
613,csv
613,excel
613,json
613,api
613,landing page
613,data.json
614,html
614,landing page
614,data.json
615,iso-19139
616,csv
616,rdf
616,json
616,xml
616,landing page
616,data.json
617,csv
617,data.json
618,zip
618,landing page
618,data.json
619,csv
619,rdf
619,json
619,xml
619,landing page
619,data.json
620,html
620,data.json
621,landing page
621,data.json
622,html
622,pdf
623,api
623,data.json
624,html
624,csv
624,landing page
624,data.json
625,data.json
626,data.json
627,iso-19139
628,zip
628,data.json
629,csv
629,rdf
629,json
629,xml
629,landing page
629,data.json
630,html web page
630,landing page
630,data.json
631,excel
